,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,9,0.1111111111111111,1,1,0.1111111111111111,goal,1.0,1.0,1.0,1.0,9.0,9.0,9.0,1,9.0,9.0,9.0
1,1,0,False,5,0.2,0,0,0.0,hole,0.5,0.5,0.5,0.5,7.0,7.0,7.0,1,9.0,9.0,9.0
2,2,0,False,5,0.2,0,0,0.0,hole,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.333333333333333,6.333333333333333,6.333333333333333,1,9.0,9.0,9.0
3,3,0,False,4,0.25,0,0,0.0,hole,0.25,0.0,0.25,0.25,4.666666666666667,5.75,5.75,1,,9.0,9.0
4,4,0,False,5,0.2,0,0,0.0,hole,0.2,0.0,0.2,0.2,4.666666666666667,5.6,5.6,1,,9.0,9.0
5,5,1,True,6,0.16666666666666666,1,1,0.16666666666666666,goal,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,5.0,5.0,5.666666666666667,2,6.0,6.0,7.5
6,6,0,False,5,0.2,0,0,0.0,hole,0.2857142857142857,0.3333333333333333,0.2,0.2857142857142857,5.333333333333333,5.0,5.571428571428571,2,6.0,6.0,7.5
7,7,1,True,9,0.1111111111111111,1,1,0.1111111111111111,goal,0.375,0.6666666666666666,0.4,0.375,6.666666666666667,5.8,6.0,3,7.5,7.5,8.0
8,8,1,True,6,0.16666666666666666,1,1,0.16666666666666666,goal,0.4444444444444444,0.6666666666666666,0.6,0.4444444444444444,6.666666666666667,6.2,6.0,4,7.5,7.0,7.5
9,9,0,False,3,0.3333333333333333,0,0,0.0,hole,0.4,0.6666666666666666,0.6,0.4,6.0,5.8,5.7,4,7.5,7.0,7.5
