,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,0,False,3,0.3333333333333333,0.0,0.0,0.0,hole,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,,,
1,1,1,True,8,0.125,1.0,1.0,0.125,goal,0.5,0.5,0.5,0.5,5.5,5.5,5.5,1.0,8.0,8.0,8.0
2,2,1,True,6,0.16666666666666666,1.0,1.0,0.16666666666666666,goal,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,5.666666666666667,5.666666666666667,5.666666666666667,2.0,7.0,7.0,7.0
3,3,1,True,6,0.16666666666666666,1.0,1.0,0.16666666666666666,goal,0.75,1.0,0.75,0.75,6.666666666666667,5.75,5.75,3.0,6.666666666666667,6.666666666666667,6.666666666666667
4,4,1,True,7,0.14285714285714285,1.0,1.0,0.14285714285714285,goal,0.8,1.0,0.8,0.8,6.333333333333333,6.0,6.0,4.0,6.333333333333333,6.75,6.75
5,5,1,True,11,0.09090909090909091,1.0,1.0,0.09090909090909091,goal,0.8333333333333334,1.0,1.0,0.8333333333333334,8.0,7.6,6.833333333333333,5.0,8.0,7.6,7.6
6,6,1,True,10,0.1,1.0,1.0,0.1,goal,0.8571428571428571,1.0,1.0,0.8571428571428571,9.333333333333334,8.0,7.285714285714286,6.0,9.333333333333334,8.0,8.0
7,7,0,False,3,0.3333333333333333,0.0,0.0,0.0,hole,0.75,0.6666666666666666,0.8,0.75,8.0,7.4,6.75,6.0,10.5,8.5,8.0
8,8,0,False,0,0.0,0.0,0.0,0.0,error,0.6666666666666666,0.3333333333333333,0.6,0.6666666666666666,4.333333333333333,6.2,6.0,6.0,10.0,9.333333333333334,8.0
9,9,0,False,10,0.1,0.0,0.0,0.0,hole,0.6,0.0,0.4,0.6,4.333333333333333,6.8,6.4,6.0,,10.5,8.0
