,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,21,0.047619047619047616,1,1,0.047619047619047616,goal,1.0,1.0,1.0,1.0,21.0,21.0,21.0,1,21.0,21.0,21.0
1,1,0,False,8,0.125,0,0,0.0,hole,0.5,0.5,0.5,0.5,14.5,14.5,14.5,1,21.0,21.0,21.0
2,2,1,True,16,0.0625,1,1,0.0625,goal,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,15.0,15.0,15.0,2,18.5,18.5,18.5
3,3,0,False,19,0.05263157894736842,0,0,0.0,hole,0.5,0.3333333333333333,0.5,0.5,14.333333333333334,16.0,16.0,2,16.0,18.5,18.5
4,4,1,True,15,0.06666666666666667,1,1,0.06666666666666667,goal,0.6,0.6666666666666666,0.6,0.6,16.666666666666668,15.8,15.8,3,15.5,17.333333333333332,17.333333333333332
5,5,0,False,14,0.07142857142857142,0,0,0.0,hole,0.5,0.3333333333333333,0.4,0.5,16.0,14.4,15.5,3,15.0,15.5,17.333333333333332
6,6,0,False,12,0.08333333333333333,0,0,0.0,hole,0.42857142857142855,0.3333333333333333,0.4,0.42857142857142855,13.666666666666666,15.2,15.0,3,15.0,15.5,17.333333333333332
7,7,0,False,17,0.058823529411764705,0,0,0.0,hole,0.375,0.0,0.2,0.375,14.333333333333334,15.4,15.25,3,,15.0,17.333333333333332
8,8,1,True,27,0.037037037037037035,1,1,0.037037037037037035,goal,0.4444444444444444,0.3333333333333333,0.4,0.4444444444444444,18.666666666666668,17.0,16.555555555555557,4,27.0,21.0,19.75
9,9,1,True,20,0.05,1,1,0.05,goal,0.5,0.6666666666666666,0.4,0.5,21.333333333333332,18.0,16.9,5,23.5,23.5,19.8
