,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,24,0.041666666666666664,1.0,1.0,0.041666666666666664,goal,1.0,1.0,1.0,1.0,24.0,24.0,24.0,1.0,24.0,24.0,24.0
1,1,0,False,0,0.0,0.0,0.0,0.0,error,0.5,0.5,0.5,0.5,12.0,12.0,12.0,1.0,24.0,24.0,24.0
2,2,1,True,17,0.058823529411764705,1.0,1.0,0.058823529411764705,goal,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,13.666666666666666,13.666666666666666,13.666666666666666,2.0,20.5,20.5,20.5
3,3,0,False,19,0.05263157894736842,0.0,0.0,0.0,hole,0.5,0.3333333333333333,0.5,0.5,12.0,15.0,15.0,2.0,17.0,20.5,20.5
4,4,0,False,25,0.04,0.0,0.0,0.0,hole,0.4,0.3333333333333333,0.4,0.4,20.333333333333332,17.0,17.0,2.0,17.0,20.5,20.5
5,5,1,True,15,0.06666666666666667,1.0,1.0,0.06666666666666667,goal,0.5,0.3333333333333333,0.4,0.5,19.666666666666668,15.2,16.666666666666668,3.0,15.0,16.0,18.666666666666668
6,6,1,True,17,0.058823529411764705,1.0,1.0,0.058823529411764705,goal,0.5714285714285714,0.6666666666666666,0.6,0.5714285714285714,19.0,18.6,16.714285714285715,4.0,16.0,16.333333333333332,18.25
7,7,0,False,11,0.09090909090909091,0.0,0.0,0.0,hole,0.5,0.6666666666666666,0.4,0.5,14.333333333333334,17.4,16.0,4.0,16.0,16.0,18.25
8,8,1,True,16,0.0625,1.0,1.0,0.0625,goal,0.5555555555555556,0.6666666666666666,0.6,0.5555555555555556,14.666666666666666,16.8,16.0,5.0,16.5,16.0,17.8
9,9,1,True,18,0.05555555555555555,1.0,1.0,0.05555555555555555,goal,0.6,0.6666666666666666,0.8,0.6,15.0,15.4,16.2,6.0,17.0,16.5,17.833333333333332
