,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,8,0.125,1,1,0.125,goal,1.0,1.0,1.0,1.0,8.0,8.0,8.0,1,8.0,8.0,8.0
1,1,0,False,8,0.125,0,0,0.0,hole,0.5,0.5,0.5,0.5,8.0,8.0,8.0,1,8.0,8.0,8.0
2,2,0,False,2,0.5,0,0,0.0,hole,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0,6.0,6.0,1,8.0,8.0,8.0
3,3,0,False,12,0.08333333333333333,0,0,0.0,hole,0.25,0.0,0.25,0.25,7.333333333333333,7.5,7.5,1,,8.0,8.0
4,4,0,False,7,0.14285714285714285,0,0,0.0,hole,0.2,0.0,0.2,0.2,7.0,7.4,7.4,1,,8.0,8.0
5,5,1,True,6,0.16666666666666666,1,1,0.16666666666666666,goal,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,8.333333333333334,7.0,7.166666666666667,2,6.0,6.0,7.0
6,6,1,True,9,0.1111111111111111,1,1,0.1111111111111111,goal,0.42857142857142855,0.6666666666666666,0.4,0.42857142857142855,7.333333333333333,7.2,7.428571428571429,3,7.5,7.5,7.666666666666667
7,7,0,False,5,0.2,0,0,0.0,hole,0.375,0.6666666666666666,0.4,0.375,6.666666666666667,7.8,7.125,3,7.5,7.5,7.666666666666667
8,8,0,False,5,0.2,0,0,0.0,hole,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,6.333333333333333,6.4,6.888888888888889,3,9.0,7.5,7.666666666666667
9,9,0,False,3,0.3333333333333333,0,0,0.0,hole,0.3,0.0,0.4,0.3,4.333333333333333,5.6,6.5,3,,7.5,7.666666666666667
