,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,0,False,3,0.3333333333333333,0,0,0.0,hole,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0,,,
1,1,1,True,9,0.1111111111111111,1,1,0.1111111111111111,goal,0.5,0.5,0.5,0.5,6.0,6.0,6.0,1,9.0,9.0,9.0
2,2,0,False,6,0.16666666666666666,0,0,0.0,hole,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0,6.0,6.0,1,9.0,9.0,9.0
3,3,0,False,3,0.3333333333333333,0,0,0.0,hole,0.25,0.3333333333333333,0.25,0.25,6.0,5.25,5.25,1,9.0,9.0,9.0
4,4,0,False,7,0.14285714285714285,0,0,0.0,hole,0.2,0.0,0.2,0.2,5.333333333333333,5.6,5.6,1,,9.0,9.0
5,5,0,False,4,0.25,0,0,0.0,hole,0.16666666666666666,0.0,0.2,0.16666666666666666,4.666666666666667,5.8,5.333333333333333,1,,9.0,9.0
6,6,0,False,3,0.3333333333333333,0,0,0.0,hole,0.14285714285714285,0.0,0.0,0.14285714285714285,4.666666666666667,4.6,5.0,1,,,9.0
7,7,1,True,6,0.16666666666666666,1,1,0.16666666666666666,goal,0.25,0.3333333333333333,0.2,0.25,4.333333333333333,4.6,5.125,2,6.0,6.0,7.5
8,8,0,False,2,0.5,0,0,0.0,hole,0.2222222222222222,0.3333333333333333,0.2,0.2222222222222222,3.6666666666666665,4.4,4.777777777777778,2,6.0,6.0,7.5
9,9,0,False,3,0.3333333333333333,0,0,0.0,hole,0.2,0.3333333333333333,0.2,0.2,3.6666666666666665,3.6,4.6,2,6.0,6.0,7.5
