,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,6,0.16666666666666666,1,1,0.16666666666666666,goal,1.0,1.0,1.0,1.0,6.0,6.0,6.0,1,6.0,6.0,6.0
1,1,1,True,12,0.08333333333333333,1,1,0.08333333333333333,goal,1.0,1.0,1.0,1.0,9.0,9.0,9.0,2,9.0,9.0,9.0
2,2,1,True,20,0.05,1,1,0.05,goal,1.0,1.0,1.0,1.0,12.666666666666666,12.666666666666666,12.666666666666666,3,12.666666666666666,12.666666666666666,12.666666666666666
3,3,1,True,6,0.16666666666666666,1,1,0.16666666666666666,goal,1.0,1.0,1.0,1.0,12.666666666666666,11.0,11.0,4,12.666666666666666,11.0,11.0
4,4,1,True,6,0.16666666666666666,1,1,0.16666666666666666,goal,1.0,1.0,1.0,1.0,10.666666666666666,10.0,10.0,5,10.666666666666666,10.0,10.0
5,5,1,True,6,0.16666666666666666,1,1,0.16666666666666666,goal,1.0,1.0,1.0,1.0,6.0,10.0,9.333333333333334,6,6.0,10.0,9.333333333333334
6,6,1,True,6,0.16666666666666666,1,1,0.16666666666666666,goal,1.0,1.0,1.0,1.0,6.0,8.8,8.857142857142858,7,6.0,8.8,8.857142857142858
7,7,1,True,6,0.16666666666666666,1,1,0.16666666666666666,goal,1.0,1.0,1.0,1.0,6.0,6.0,8.5,8,6.0,6.0,8.5
8,8,1,True,6,0.16666666666666666,1,1,0.16666666666666666,goal,1.0,1.0,1.0,1.0,6.0,6.0,8.222222222222221,9,6.0,6.0,8.222222222222221
9,9,1,True,6,0.16666666666666666,1,1,0.16666666666666666,goal,1.0,1.0,1.0,1.0,6.0,6.0,8.0,10,6.0,6.0,8.0
