,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,7,0.14285714285714285,1,1,0.14285714285714285,goal,1.0,1.0,1.0,1.0,7.0,7.0,7.0,1,7.0,7.0,7.0
1,1,0,False,16,0.0625,0,0,0.0,max_steps_exceeded,0.5,0.5,0.5,0.5,11.5,11.5,11.5,1,7.0,7.0,7.0
2,2,0,False,3,0.3333333333333333,0,0,0.0,hole,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,8.666666666666666,8.666666666666666,8.666666666666666,1,7.0,7.0,7.0
3,3,0,False,2,0.5,0,0,0.0,hole,0.25,0.0,0.25,0.25,7.0,7.0,7.0,1,,7.0,7.0
4,4,0,False,3,0.3333333333333333,0,0,0.0,hole,0.2,0.0,0.2,0.2,2.6666666666666665,6.2,6.2,1,,7.0,7.0
5,5,0,False,10,0.1,0,0,0.0,hole,0.16666666666666666,0.0,0.0,0.16666666666666666,5.0,6.8,6.833333333333333,1,,,7.0
6,6,0,False,5,0.2,0,0,0.0,hole,0.14285714285714285,0.0,0.0,0.14285714285714285,6.0,4.6,6.571428571428571,1,,,7.0
7,7,0,False,4,0.25,0,0,0.0,hole,0.125,0.0,0.0,0.125,6.333333333333333,4.8,6.25,1,,,7.0
8,8,0,False,4,0.25,0,0,0.0,hole,0.1111111111111111,0.0,0.0,0.1111111111111111,4.333333333333333,5.2,6.0,1,,,7.0
9,9,0,False,16,0.0625,0,0,0.0,max_steps_exceeded,0.1,0.0,0.0,0.1,8.0,7.8,7.0,1,,,7.0
