,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,13,0.07692307692307693,1,1,0.07692307692307693,goal,1.0,1.0,1.0,1.0,13.0,13.0,13.0,1,13.0,13.0,13.0
1,1,1,True,22,0.045454545454545456,1,1,0.045454545454545456,goal,1.0,1.0,1.0,1.0,17.5,17.5,17.5,2,17.5,17.5,17.5
2,2,0,False,5,0.2,0,0,0.0,hole,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,13.333333333333334,13.333333333333334,13.333333333333334,2,17.5,17.5,17.5
3,3,1,True,15,0.06666666666666667,1,1,0.06666666666666667,goal,0.75,0.6666666666666666,0.75,0.75,14.0,13.75,13.75,3,18.5,16.666666666666668,16.666666666666668
4,4,1,True,14,0.07142857142857142,1,1,0.07142857142857142,goal,0.8,0.6666666666666666,0.8,0.8,11.333333333333334,13.8,13.8,4,14.5,16.0,16.0
5,5,1,True,14,0.07142857142857142,1,1,0.07142857142857142,goal,0.8333333333333334,1.0,0.8,0.8333333333333334,14.333333333333334,14.0,13.833333333333334,5,14.333333333333334,16.25,15.6
6,6,1,True,10,0.1,1,1,0.1,goal,0.8571428571428571,1.0,0.8,0.8571428571428571,12.666666666666666,11.6,13.285714285714286,6,12.666666666666666,13.25,14.666666666666666
7,7,1,True,17,0.058823529411764705,1,1,0.058823529411764705,goal,0.875,1.0,1.0,0.875,13.666666666666666,14.0,13.75,7,13.666666666666666,14.0,15.0
8,8,1,True,19,0.05263157894736842,1,1,0.05263157894736842,goal,0.8888888888888888,1.0,1.0,0.8888888888888888,15.333333333333334,14.8,14.333333333333334,8,15.333333333333334,14.8,15.5
9,9,1,True,10,0.1,1,1,0.1,goal,0.9,1.0,1.0,0.9,15.333333333333334,14.0,13.9,9,15.333333333333334,14.0,14.88888888888889
