,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,14,0.07142857142857142,1.0,1.0,0.07142857142857142,goal,1.0,1.0,1.0,1.0,14.0,14.0,14.0,1.0,14.0,14.0,14.0
1,1,1,True,14,0.07142857142857142,1.0,1.0,0.07142857142857142,goal,1.0,1.0,1.0,1.0,14.0,14.0,14.0,2.0,14.0,14.0,14.0
2,2,1,True,14,0.07142857142857142,1.0,1.0,0.07142857142857142,goal,1.0,1.0,1.0,1.0,14.0,14.0,14.0,3.0,14.0,14.0,14.0
3,3,1,True,16,0.0625,1.0,1.0,0.0625,goal,1.0,1.0,1.0,1.0,14.666666666666666,14.5,14.5,4.0,14.666666666666666,14.5,14.5
4,4,1,True,16,0.0625,1.0,1.0,0.0625,goal,1.0,1.0,1.0,1.0,15.333333333333334,14.8,14.8,5.0,15.333333333333334,14.8,14.8
5,5,0,False,0,0.0,0.0,0.0,0.0,error,0.8333333333333334,0.6666666666666666,0.8,0.8333333333333334,10.666666666666666,12.0,12.333333333333334,5.0,16.0,15.0,14.8
6,6,1,True,14,0.07142857142857142,1.0,1.0,0.07142857142857142,goal,0.8571428571428571,0.6666666666666666,0.8,0.8571428571428571,10.0,12.0,12.571428571428571,6.0,15.0,15.0,14.666666666666666
7,7,0,False,0,0.0,0.0,0.0,0.0,error,0.75,0.3333333333333333,0.6,0.75,4.666666666666667,9.2,11.0,6.0,14.0,15.333333333333334,14.666666666666666
8,8,1,True,16,0.0625,1.0,1.0,0.0625,goal,0.7777777777777778,0.6666666666666666,0.6,0.7777777777777778,10.0,9.2,11.555555555555555,7.0,15.0,15.333333333333334,14.857142857142858
9,9,1,True,16,0.0625,1.0,1.0,0.0625,goal,0.8,0.6666666666666666,0.6,0.8,10.666666666666666,9.2,12.0,8.0,16.0,15.333333333333334,15.0
