,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,0,False,3,0.3333,0,0,0,hole,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0,NaN,NaN,NaN
1,1,0,False,5,0.2,0,0,0,hole,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0,NaN,NaN,NaN
2,2,1,True,12,0.0833,1,1,0.0833,goal,0.3333,0.3333,0.2,0.1,6.6667,6.0,7.0,1,12.0,12.0,12.0
3,3,0,False,8,0.125,0,0,0,hole,0.25,0.3333,0.2,0.1,8.0,6.4,8.0,1,12.0,12.0,12.0
4,4,1,True,11,0.0909,1,1,0.0909,goal,0.4,0.3333,0.4,0.2,10.3333,8.0,8.7,2,11.5,11.5,11.5
5,5,0,False,7,0.1428,0,0,0,hole,0.3333,0.3333,0.4,0.2,8.6667,8.2,8.7,2,11.5,11.5,11.5
6,6,0,False,6,0.1666,0,0,0,hole,0.2857,0.0,0.2,0.2,7.6667,7.8,8.5,2,11.5,11.5,11.5
7,7,1,True,10,0.1,1,1,0.1,goal,0.375,0.3333,0.4,0.25,8.6667,8.0,8.6,3,10.0,10.67,10.8
8,8,1,True,10,0.1,1,1,0.1,goal,0.4444,0.6667,0.6,0.3,10.0,8.8,8.8,4,10.0,10.67,10.8
9,9,1,True,10,0.1,1,1,0.1,goal,0.5,0.6667,0.6,0.4,10.0,8.8,8.8,5,10.0,10.67,10.75
