iteration,step,reward,is_terminated
0,0,0,False
0,1,0,False
0,2,0,False
0,3,0,False
0,4,0,False
0,5,0,False
0,6,0,False
0,7,0,False
0,8,0,True
1,0,0,False
1,1,0,False
1,2,0,False
1,3,0,False
1,4,0,False
1,5,0,False
1,6,0,False
1,7,0,False
1,8,0,False
1,9,0,False
1,10,0,False
1,11,0,False
1,12,0,False
1,13,0,False
1,14,0,False
1,15,0,False
1,16,0,False
1,17,1,True
2,0,0,False
2,1,0,False
2,2,0,False
2,3,0,False
2,4,0,False
2,5,0,False
2,6,0,False
2,7,0,False
2,8,0,False
2,9,0,False
2,10,0,False
2,11,1,True
3,0,0,False
3,1,0,False
3,2,0,False
3,3,0,False
3,4,0,False
3,5,0,False
3,6,0,True
5,0,0,False
5,1,0,False
5,2,0,False
5,3,0,False
5,4,0,False
5,5,0,False
5,6,0,False
5,7,0,True
6,0,0,False
6,1,0,False
6,2,0,False
6,3,0,False
6,4,0,False
6,5,0,False
6,6,0,False
6,7,0,False
6,8,0,False
6,9,0,False
6,10,0,False
6,11,0,False
6,12,0,False
6,13,0,False
6,14,1,True
